3941,S/E Munkerudåsen 16
3942,S/E Tomtegata 5
3943,Etterstadgata 30 Brl
3944,Munkerudåsen 38 S/E
3946,S/E Munkengveien 1
3947,Sønstebo Boligsameie
3948,S/E Bergrådveien 5
3949,S/E Munkerudkleiva 22
3950,S/E Bygdøy Alle 61
3951,Brl Fossveien 5,7
3954,Bs Oscarsgate 3B
3955,S/E Prinsensgate 14-16
3956,S/E Hegdehaugsveien 15
3957,Maridalsv.60 Eiersek.Sameie
3959,Inkognito Terrasse 5 Bs
3960,Camilla Collettsvei 3 AS
3961,Sameiet Bjerregaardsgt 64
3962,S/E Schweigaardsgt 48 A
3963,S/E Schwensensgt 18
3964,B/S Niels Juelsgate 47
3965,S/E Schleppegrellsgt 14
3966,S/E Holmenveien 14
3968,S/E Bjerkestrand 5-23
3970,S/E Stubben
3971,S/E Ullernveien 15
3972,S/E Konowsgt 39
3973,S/E Bennechesgate 5
3974,Brl Markveien 59
3976,S/E Parkveien 62 B
3978,S/E Enebakkvn 28
3981,Mohagen Sameie
3983,Hvitveiskroken Borettslag
3984,S/E Uranienborg Terrasse 22
3986,S/E Gimleveien 20
3988,Bestum Terrasse Boligsameie
3990,Sameiet Fredensborgveien 39
3991,S/E Cort Adelersgate 2
3992,S/E Nordstjernevn 1-3
3993,Mohagen II Boligsameie
3998,S/E Frenningsvei 45
4002,S/E Eckersbergsgaten 17
4004,Eckersberggaten 6 Sameie
4005,Torshovgaten 20 B/L
4008,Magnus Bergsgt 1 AS
4010,Hammerstadgata 11 B/S
4012,Løvenskioldsgate 8 SE
4013,Toftesgate 51 S/E
4014,Ullevålsveien 59 Bs
4021,Ekebergveien 10B Sameie
4022,Sameiet Hegdehaugsveien 7
4024,S/E Sverdrupsgate 9
4025,Inkognitogaten 2 B/S
4026,S/E Stensberggaten 17
4027,Jerpefaret 8 Sameie
4028,Tøyengata 37 B/S
4029,B/S Industrigaten 56
4033,Vøyensvingen 15 AS
4035,Sameiet Langesgate 9
4036,S/E Bjerregaardsgt. 20A
4037,Helgesensgate 21  S/E
4038,B/S Josefinesgt 38
4039,Fossveien 23B Sameiet
4041,B/S Grønnegata 14
4042,Oslo Havebyselskap
4044,S/E Schleppegrellsgt 24
4047,Nobelsgt. 22 B/S
4048,S/E Thor Olsensgt 5A
4049,S/E Sexesgt 2
4051,Frederik Gladsgate 18-20
4053,AS Langaardsgate 1
4055,Sameiet Rathkesgt 17
4056,Sameiet Østreheimsveien 17/19
4058,Sameiet Dronning Astridsgate 5
4059,AL Brl Industrigaten 30
4060,Brl Toftesgt. 59
4062,S/E Thor Olsensgt 8
4063,S/E Drammensveien 70
4064,Sofiesgt 16 B/S
4066,S/E Elster Brygge I
4067,B/S Hosleveien 52
4070,S/E Seilduksgt 8
4072,Daasgate 1 Sameie
4073,B/S Vidarsgt 20
4074,S/E Huitfeldtsgate 11
4076,S/E Frimannsgt 22
4077,Bryn Atrium Sameie
4078,S/E Marstrandsgt 15
4079,Brl Seilduksgt 24
